Zip Code,DMA,Country,Population
52554,Ottumwa IA-Kirksville MO,"WAPELLO, IA",1293
52555,Des Moines-Ames IA,"APPANOOSE, IA",362
52556,Ottumwa IA-Kirksville MO,"JEFFERSON, IA",13496
52560,Ottumwa IA-Kirksville MO,"DAVIS, IA",457
52561,Des Moines-Ames IA,"MAHASKA, IA",929
52563,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",1460
52565,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",1833
52566,Ottumwa IA-Kirksville MO,"WAPELLO, IA",177
52567,Ottumwa IA-Kirksville MO,"JEFFERSON, IA",749
52569,Des Moines-Ames IA,"MONROE, IA",618
52570,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",974
52571,Des Moines-Ames IA,"APPANOOSE, IA",1594
52572,Des Moines-Ames IA,"APPANOOSE, IA",1182
52573,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",172
52574,Des Moines-Ames IA,"APPANOOSE, IA",817
52576,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",511
52577,Des Moines-Ames IA,"MAHASKA, IA",15335
52580,Ottumwa IA-Kirksville MO,"JEFFERSON, IA",559
52581,Des Moines-Ames IA,"APPANOOSE, IA",277
52583,Des Moines-Ames IA,"WAYNE, IA",244
52584,Ottumwa IA-Kirksville MO,"DAVIS, IA",425
52585,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",1007
52586,Des Moines-Ames IA,"MAHASKA, IA",369
52588,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",0
52590,Des Moines-Ames IA,"WAYNE, IA",1170
52591,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"KEOKUK, IA",3204
52593,Des Moines-Ames IA,"APPANOOSE, IA",156
52594,Des Moines-Ames IA,"APPANOOSE, IA",298
52601,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",29175
52619,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",610
52620,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",891
52621,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,"WASHINGTON, IA",618
52623,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",2103
52625,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",2658
52626,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",1340
52627,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",12810
52630,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",428
52632,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",12800
52635,Ottumwa IA-Kirksville MO,"JEFFERSON, IA",766
52637,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",2541
52638,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",581
52639,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",2056
52640,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",1536
52641,Davenport IA-Rock Island-Moline IL,"HENRY, IA",12008
52644,Davenport IA-Rock Island-Moline IL,"HENRY, IA",368
52645,Davenport IA-Rock Island-Moline IL,"HENRY, IA",3245
52646,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",350
52649,Davenport IA-Rock Island-Moline IL,"HENRY, IA",935
52650,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",645
52651,Ottumwa IA-Kirksville MO,"VAN BUREN, IA",771
52653,Davenport IA-Rock Island-Moline IL,"LOUISA, IA",3312
52654,Davenport IA-Rock Island-Moline IL,"HENRY, IA",1765
52655,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",4447
52656,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",2374
52657,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",66
52658,Quincy IL-Hannibal MO-Keokuk IA,"LEE, IA",776
52659,Davenport IA-Rock Island-Moline IL,"HENRY, IA",1443
52660,Davenport IA-Rock Island-Moline IL,"DES MOINES, IA",150
52720,Davenport IA-Rock Island-Moline IL,"MUSCATINE, IA",867
